"","GS","ar1","ma1","lat","long","loglike","phi","phylum","kingdom","maxh"
"495","Endrosis sarcitrella",0.278803324021623,0.277901699062181,56,13,0.310671601200312,0.485838935932943,"Arthropoda","Metazoa",NA
"496","Entomoneis sp",0.479388749191965,0.22362603813033,-29,154,0.310671601200312,0.698595829588992,"Bacillariophyta",NA,NA
"497","Entomoneis sp",0.432763124216592,0.371349229771523,-38,145,0.310671601200312,1.01173404277904,"Bacillariophyta",NA,NA
"498","Epinotia abbreviana",0.236543477474885,0.244732862049794,56,13,0.310671601200312,5.48661385780281,"Arthropoda","Metazoa",NA
"499","Epinotia ramella",-0.87104307183512,-0.999353821937337,56,13,0.310671601200312,0.269249486494964,"Arthropoda","Metazoa",NA
"500","Epirrhoe alternata",0.660604171663913,0.972556152245707,56,13,0.310671601200312,0.415892626676418,"Arthropoda","Metazoa",NA
"501","Epischura lacustris",0.506172384363389,0.998511133456424,46,-90,0.310671601200312,0.214953696781537,"Arthropoda","Metazoa",NA
"502","Etheostoma blennioides",0.884540223951748,0.997604531254471,40,-87,0.310671601200312,2.35414559255255,"Chordata","Metazoa",NA
"503","Etheostoma caeruleum",-0.903872094683363,-0.995824488166737,40,-87,0.310671601200312,4.27805512470686,"Chordata","Metazoa",NA
"504","Etheostoma nigrum",0.875705853132636,0.999439687401497,40,-87,0.310671601200312,0.841251442223953,"Chordata","Metazoa",NA
"505","Etropus crossotus",0.676613495383962,0.999783946177006,-23,-43,0.310671601200312,1.03605716925397,"Chordata","Metazoa",NA
"506","Eucalanus sp",0.168537371083566,0.0880044721585527,-34,151,0.310671601200312,-0.929021601427821,NA,NA,NA
"507","Eucyclops elegans",0.631893643891158,0.999759520031099,46,-90,0.310671601200312,-0.167589074104874,NA,NA,NA
"508","Eudemis profundana",0.196014442157176,0.257876182381583,56,13,0.310671601200312,0.320005091424999,"Arthropoda","Metazoa",NA
"509","Eudiaptomus gracilis",0.192664138328297,0.17676149302933,47,9,0.310671601200312,0.378646753670258,"Arthropoda","Metazoa",NA
"510","Eupatorium altissimum",-0.905397490271847,-0.998265337656627,39,-97,-7.64877432821284,0.611513565641608,"Streptophyta","Viridiplantae",1.5
"511","Eupatorium altissimum",0.961589025905986,0.998850325411663,39,-97,-4.66657760731377,1.81255762980996,"Streptophyta","Viridiplantae",1.5
"512","Euphausiidae ",0.781685486554189,0.790866530411541,-34,151,0.310671601200312,1.74590320357144,"Arthropoda","Metazoa",NA
"513","Eupithecia exiguata",0.928579048633491,0.999999749226427,56,13,0.310671601200312,0.790902238589038,"Arthropoda","Metazoa",NA
"514","Eupithecia succenturiata",0.519077508609413,0.99907168944061,56,13,0.310671601200312,0.794807764466572,"Arthropoda","Metazoa",NA
"515","Eupithecia tantillaria",0.545505630466851,0.999317706361851,56,13,0.310671601200312,1.4230912260002,"Arthropoda","Metazoa",NA
"516","Eupithecia vulgata",-0.191373026067442,-0.190066445909131,56,13,0.310671601200312,0.0283396431905721,"Arthropoda","Metazoa",NA
"517","Euploea mulciber",0.321069400624593,0.313825997278787,21,105,0.310671601200312,0.340173491404036,"Arthropoda","Metazoa",NA
"518","Farranula concinna",-0.618588860989553,-0.997894212697897,-27,154,0.310671601200312,-0.825061137357654,NA,NA,NA
"519","Farranula sp",-0.588933106585616,-0.720093324735417,-27,154,0.310671601200312,-0.107109143728754,NA,NA,NA
"520","Filamentous ind",-0.0776173146869454,-0.0792625711059546,43,10,0.310671601200312,-0.24068278540267,NA,NA,NA
"521","Filinia sp",0.668181286068969,0.999897209504314,46,-90,0.310671601200312,2.06131512524709,NA,NA,NA
"522","Flagellate ",0.257894878380507,0.23087279627865,-38,144,0.310671601200312,0.588909675354109,NA,NA,NA
"523","Flagellate ",0.495044892554371,0.323571138061803,-38,145,0.310671601200312,1.16469207079448,NA,NA,NA
"524","Fragilaria capucina",0.667029747073752,0.999549632631819,43,-89,11.5113298144317,0.306532048479903,"Bacillariophyta",NA,NA
"525","Fragilaria capucina",0.770316766472575,0.999942618709781,43,-89,0.310671601200312,0.692731684455259,"Bacillariophyta",NA,NA
"526","Fragilaria sp",0.545570551225166,0.999290950922568,-38,144,0.310671601200312,0.196430198298031,"Bacillariophyta",NA,NA
"527","Fragilaria sp",0.409394074408618,0.377104571355045,-38,145,0.310671601200312,0.464382329311639,"Bacillariophyta",NA,NA
"528","Fritillaridae ",-0.868085101324855,-0.99722481581487,-43,148,0.310671601200312,-0.0172905318279557,NA,NA,NA
"529","Galaxias argenteus",0.939802861646142,0.996648839999394,-38,175,0.310671601200312,5.70690661140709,"Chordata","Metazoa",NA
"530","Galaxias brevipinnis",-0.892818392012232,-0.993872280483475,-46,170,0.310671601200312,0.815611040693054,"Chordata","Metazoa",NA
"531","Galaxias fasciatus",-0.281804719404091,-0.265803551513953,-43,171,0.310671601200312,-0.68456614657992,"Chordata","Metazoa",NA
"532","Galaxias fasciatus",0.866824519516726,0.998099532370848,-37,176,0.310671601200312,0.318462858526059,"Chordata","Metazoa",NA
"533","Galaxias maculatus",0.910074220411754,0.999987859553738,-39,174,0.310671601200312,1.4472831115225,"Chordata","Metazoa",NA
"534","Galaxias postvectis",-0.830312757557907,-0.998197586461262,-41,175,0.310671601200312,0.874094867166742,"Chordata","Metazoa",NA
"535","Galaxias postvectis",-0.501491579872334,-0.300876555489218,-39,174,0.310671601200312,0.887867084596656,"Chordata","Metazoa",NA
